Bin Center, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days, Ea2 7 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days,EA2 35 days
27200,0.014421,0,0,0.00846,0.013483,,0.019689,0.010754,0.028675,0,0.007917,0
27400,0.014421,0.016044,0.018706,0.016921,0,,0,0.010754,0.019117,0.024788,0.007917,0.010193
27600,0.028842,0.008022,0,0,0.026966,,0,0,0.028675,0,0.02375,0.030579
27800,0,0.008022,0,0.00846,0,,0.039377,0.010754,0.019117,0.012394,0.031666,0.01529
28000,0.028842,0.024067,0,0.016921,0,,0.019689,0.010754,0.009558,0.024788,0.007917,0.010193
28200,0.014421,0.016044,0.018706,0.00846,0.013483,,0,0.010754,0.009558,0.024788,0.007917,0.01529
28400,0.028842,0,0.018706,0.00846,0,,0.019689,0.021509,0.047792,0.024788,0.015833,0.020386
28600,0.014421,0.040111,0,0.042302,0.013483,,0.019689,0.043018,0.009558,0,0.02375,0.025483
28800,0.014421,0.008022,0,0.016921,0,,0.019689,0.010754,0,0.024788,0,0.010193
29000,0.028842,0,0,0,0,,0,0,0.009558,0,0.031666,0.010193
29200,0.043263,0.032089,0,0.00846,0,,0.019689,0,0.009558,0,0.015833,0.005097
29400,0,0.024067,0,0.00846,0.013483,,0,0.032263,0.019117,0,0,0.01529
29600,0.014421,0.008022,0,0.00846,0,,0,0.021509,0.009558,0.024788,0.007917,0.010193
29800,0.014421,0,0.018706,0.016921,0,,0,0.010754,0.019117,0,0.015833,0.005097
30000,0,0.016044,0,0,0,,0.019689,0.010754,0.019117,0,0,0.005097
30200,0,0.024067,0.037413,0.00846,0,,0,0.010754,0,0.024788,0.015833,0.020386
30400,0,0,0,0.00846,0,,0.019689,0,0,0,0.007917,0.01529
30600,0,0,0,0.00846,0,,0,0,0.019117,0.012394,0.015833,0.020386
30800,0.043263,0,0,0.00846,0,,0,0.010754,0.009558,0.012394,0.015833,0.020386
31000,0.014421,0.008022,0.018706,0,0,,0,0,0.028675,0.024788,0.02375,0.025483
31200,0.014421,0.016044,0,0,0,,0,0,0,0.012394,0.015833,0.005097
31400,0.043263,0.024067,0.018706,0.00846,0,,0.019689,0,0.019117,0.037182,0.015833,0.01529
31600,0,0.016044,0.018706,0.016921,0.013483,,0,0,0,0,0.031666,0.01529
31800,0.014421,0.016044,0.018706,0.00846,0.013483,,0,0,0,0,0.031666,0.01529
32000,0.028842,0.016044,0,0.00846,0,,0,0,0.009558,0,0.007917,0.005097
32200,0,0,0,0.00846,0,,0,0,0,0.012394,0,0.010193
32400,0.014421,0.008022,0,0.00846,0.013483,,0,0.010754,0,0.012394,0.02375,0.020386
32600,0.014421,0.008022,0.018706,0.00846,0,,0,0,0.009558,0.012394,0.02375,0.010193
32800,0.014421,0.016044,0.018706,0.00846,0,,0.019689,0.010754,0.009558,0,0.015833,0.020386
33000,0,0,0,0.00846,0,,0,0,0.009558,0,0.007917,0.005097
33200,0,0.008022,0,0,0,,0,0.010754,0.019117,0.024788,0.015833,0.010193
33400,0,0,0,0.016921,0.013483,,0,0.010754,0,0,0.007917,0.010193
33600,0.028842,0.024067,0,0,0.013483,,0.019689,0,0,0,0.02375,0
33800,0.014421,0.040111,0,0.00846,0,,0,0,0.009558,0,0.015833,0.020386
34000,0.014421,0,0,0.00846,0,,0.019689,0,0,0,0.007917,0.025483
34200,0,0.016044,0,0.00846,0.013483,,0.039377,0,0,0,0.007917,0.01529
34400,0.014421,0,0,0.033842,0,,0,0.021509,0.019117,0,0.007917,0.01529
34600,0,0,0,0.016921,0,,0,0.010754,0,0,0.015833,0.01529
34800,0.028842,0.008022,0.018706,0,0,,0,0,0,0,0,0.01529
35000,0,0.008022,0,0.00846,0.013483,,0,0.010754,0.009558,0,0.007917,0
35200,0,0.016044,0,0.016921,0,,0.019689,0,0,0.012394,0,0.010193
35400,0.014421,0.008022,0,0,0.013483,,0.019689,0.010754,0,0,0.007917,0.010193
35600,0,0,0,0,0,,0.019689,0.032263,0.009558,0.012394,0.02375,0.010193
35800,0.028842,0,0.018706,0.016921,0.013483,,0,0,0.009558,0.012394,0.007917,0.020386
36000,0.014421,0.008022,0,0.00846,0,,0.039377,0.010754,0.019117,0.012394,0,0.01529
36200,0.014421,0.016044,0,0.00846,0,,0.019689,0.010754,0,0,0,0
36400,0,0.024067,0,0.00846,0,,0,0.053772,0.009558,0,0.015833,0.010193
36600,0.014421,0.016044,0,0,0,,0.019689,0.010754,0,0,0.015833,0.010193
36800,0,0.008022,0,0.00846,0,,0.019689,0.010754,0,0,0,0
37000,0.043263,0,0,0.025381,0,,0,0.021509,0,0,0.007917,0
37200,0,0.008022,0.018706,0.016921,0,,0,0.021509,0,0,0,0.01529
37400,0,0.016044,0,0.00846,0,,0.019689,0.010754,0,0,0.015833,0.010193
37600,0.014421,0,0,0,0,,0.019689,0.021509,0.009558,0,0.007917,0.005097
37800,0,0.008022,0,0,0,,0,0.010754,0.019117,0,0.02375,0.005097
38000,0.014421,0,0,0,0,,0,0.021509,0.009558,0,0.015833,0
38200,0.014421,0,0.018706,0.033842,0,,0,0,0,0,0,0
38400,0,0,0.037413,0,0,,0,0,0,0.012394,0.007917,0
38600,0,0.008022,0,0.00846,0,,0.019689,0,0,0.024788,0.007917,0.005097
38800,0.014421,0.016044,0,0.00846,0,,0,0,0,0.012394,0,0.005097
39000,0,0.008022,0,0,0,,0.019689,0.010754,0.019117,0,0.015833,0.020386
39200,0.014421,0.016044,0,0,0,,0.039377,0,0,0,0.015833,0.005097
39400,0.014421,0.016044,0,0,0,,0.039377,0.021509,0,0.024788,0,0.005097
39600,0.014421,0.008022,0,0,0.013483,,0,0.021509,0.009558,0,0.007917,0.01529
39800,0,0,0,0.00846,0.013483,,0,0,0,0,0.015833,0.005097
40000,0,0.024067,0,0,0.026966,,0,0.010754,0,0.012394,0.007917,0
40200,0,0,0.018706,0.016921,0,,0,0,0,0,0.007917,0
40400,0.014421,0.016044,0,0,0,,0.019689,0,0.009558,0,0,0.005097
40600,0,0,0,0,0,,0.019689,0,0.009558,0,0.015833,0.010193
40800,0,0,0.018706,0.00846,0.013483,,0,0,0,0,0,0.005097
41000,0.014421,0.016044,0.018706,0.00846,0,,0,0,0.009558,0,0,0.005097
41200,0,0.008022,0,0,0,,0,0.032263,0,0.012394,0,0.005097
41400,0,0,0,0,0,,0,0,0,0,0,0.005097
41600,0,0.008022,0,0.00846,0,,0,0,0,0.012394,0,0.005097
41800,0,0,0,0.00846,0.013483,,0,0.010754,0,0,0,0.01529
42000,0,0.008022,0.018706,0,0,,0,0.010754,0,0,0.007917,0.01529
42200,0,0,0,0,0,,0,0.010754,0.009558,0.012394,0.007917,0.005097
42400,0.028842,0,0,0,0,,0.019689,0.021509,0,0,0.007917,0.01529
42600,0,0.024067,0.018706,0.016921,0,,0,0.021509,0,0,0,0.01529
42800,0.014421,0.008022,0,0,0,,0,0,0,0,0.007917,0
43000,0,0,0,0.00846,0,,0.039377,0,0.019117,0.012394,0.007917,0.005097
