Bin Center,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Kras 5 week 1ug,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Het Hom 5 wk,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days,Kras EA2 7 days
22800,0.041326,0.021172,0.071839,0.010512203,,,0,0,0,0,0,0.02975501,0,0.0129247,0,0.02148539,0.0141196,,0,0.026926,0,0.040828,,
23000,0.082653,0,0.01796,0.010512203,,,0,0,0.04695929,0.00774631,0.00814326,0.02975501,0.09399577,0.03877409,0,0.01432359,0.0423588,,0,0,0.016353,0.027219,,
23200,0.041326,0.05293,0,0.031536608,,,0,0,0,0.00774631,0.01628651,0,0.03133192,0.02584939,0.02218095,0.02148539,0.0282392,,0.011305,0.026926,0.024529,0.013609,,
23400,0.041326,0,0,0,,,0,0,0,0.00774631,0.03257303,0,0,0.05169878,0.03327142,0.01432359,0.0141196,,0.011305,0.013463,0.016353,0,,
23600,0,0,0.01796,0.010512203,,,0,0,0,0,0.00814326,0,0,0.02584939,0.01109047,0.02148539,0.0282392,,0.011305,0,0.008176,0.040828,,
23800,0,0.042344,0.01796,0,,,0,0,0,0.00774631,0,0.02975501,0.06266385,0.03877409,0,0.01432359,0,,0,0,0.024529,0.027219,,
24000,0,0.063515,0.035919,0.052561013,,,0,0,0,0.00774631,0.01628651,0,0,0.02584939,0,0,0.0141196,,0.033915,0.04039,0.008176,0.040828,,
24200,0.041326,0.021172,0,0.010512203,,,0,0,0,0,0,0,0,0,0.01109047,0.02864718,0.0141196,,0,0.013463,0,0.054438,,
24400,0.041326,0.05293,0,0.031536608,,,0,0.03829863,0,0.00774631,0.00814326,0,0,0.02584939,0.01109047,0.02864718,0.0282392,,0.011305,0,0.016353,0,,
24600,0.041326,0.021172,0,0.031536608,,,0,0,0,0.00774631,0.00814326,0,0,0.05169878,0.01109047,0.02148539,0,,0,0.053853,0.008176,0,,
24800,0.041326,0.010586,0.035919,0.04204881,,,0,0,0,0.03873153,0,0.02975501,0,0.0129247,0,0.02148539,0,,0.011305,0,0.016353,0,,
