Bin Center,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 1wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,WT 1ug 5wk,p53 het,p53 het,p53 het,p53 het,p53 het,p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het,5 wk kras het p53 het
12800,0,0,0.045789,0.057641,0.033648,,0,0.063515,0.035919,0.052561013,,,,,,,,,0.082879455,0.110289296,0.013042464,0.104518801,,
13000,0.039571,0,0.030526,0.057641,0.040377,,0,0.042344,0.071839,0.073585418,,,,,,,,,0.062159591,0.027572324,0.065212322,0.11402051,,
13200,0.079141,0,0,0.028821,0.067295,,0.041326,0.074101,0.053879,0.04204881,,,,,,,,,0.041439727,0.055144648,0.039127393,0.057010255,,
13400,0.039571,0,0.061053,0.057641,0.067295,,0.041326,0.095273,0.071839,0.073585418,,,,,,,,,0,0,0.052169857,0.066511964,,
13600,0.039571,0,0.045789,0.034585,0.033648,,0.041326,0.084687,0.01796,0.04204881,,,,,,,,,0.062159591,0.082716972,0.130424643,0.095017092,,
13800,0.039571,0.048646,0,0.051877,0.026918,,0.041326,0.05293,0.01796,0.04204881,,,,,,,,,0.041439727,0,0.039127393,0.123522219,,
14000,0.118712,0.097293,0.015263,0.063405,0.033648,,0.041326,0.05293,0.089798,0.073585418,,,,,,,,,0.062159591,0.027572324,0.013042464,0.11402051,,
14200,0,0.048646,0.045789,0.005764,0.013459,,0.041326,0.084687,0.035919,0.063073215,,,,,,,,,0.041439727,0.082716972,0.078254786,0.133023929,,
14400,0,0.048646,0.015263,0.051877,0.087484,,0.041326,0.031758,0.089798,0.031536608,,,0.994095615,0.309208987,1.38759706,,,,0.041439727,0.055144648,0.09129725,0.123522219,,
14600,0.118712,0.097293,0.061053,0.040349,0.040377,,0,0.042344,0.089798,0.04204881,,,0.548466546,0,1.051209894,,,,0.062159591,0,0.117382179,0.104518801,,
14800,0,0,0.045789,0.040349,0.013459,,0.082653,0.021172,0.107758,0.04204881,,,0.479908228,0.128837078,1.051209894,,,,0.020719864,0,0.052169857,0.095017092,,
15000,0,0.097293,0.045789,0.017292,0.067295,,0.123979,0.063515,0.053879,0.08409762,,,0.565606126,0.103069662,0.756871123,,,,0.041439727,0.027572324,0.078254786,0.142525638,,
15200,0.039571,0.048646,0.030526,0.034585,0.060566,,0.041326,0.063515,0.053879,0.031536608,,,0.41134991,0.077302247,0.58867754,,,,0.082879455,0.055144648,0.039127393,0.028505128,,
15400,0.039571,0,0.061053,0.023056,0.060566,,0.041326,0.105859,0.071839,0.010512203,,,0.274233273,0.128837078,0.742854991,,,,0,0.110289296,0.09129725,0.11402051,,
15600,0.079141,0.097293,0.030526,0.023056,0.040377,,0.082653,0.063515,0.071839,0.063073215,,,0.37707075,0.154604494,0.700806596,,,,0.020719864,0.027572324,0.026084929,0.123522219,,
