Bin Center,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,WT 1ug,Kras,Kras,Kras,Kras,Kras,Kras,over,over,over,over,over,over,time,time,time,time,time,time
31000,0,,0.012536271,0.015176882,0.007379829,,0,0,0.012536271,0.015176882,,,,,,,,,,,,,,
31200,0.012590494,,0.025072542,0,0.014759658,,0.012590494,0,0.025072542,0,,,,,,,,,,,,,,
31400,0.025180988,,0.012536271,0,0.014759658,,0.025180988,0,0.012536271,0,,,,,,,,,,,,,,
31600,0.012590494,,0.025072542,0,0.007379829,,0.012590494,0,0.025072542,0,,,,,,,,,,,,,,
31800,0,,0,0,0.014759658,,0,0,0,0,,,,,,,,,,,,,,
32000,0,,0.012536271,0,0,,0,0,0.012536271,0,,,,,,,,,,,,,,
32200,0.012590494,,0.012536271,0,0.022139486,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
32400,0.088133459,,0.025072542,0,0.014759658,,0.088133459,0,0.025072542,0,,,,,,,,,,,,,,
32600,0.012590494,,0,0,0.022139486,,0.012590494,0,0,0,,,,,,,,,,,,,,
32800,0.050361977,,0,0.015176882,0,,0.050361977,0,0,0.015176882,,,,,,,,,,,,,,
33000,0,,0.025072542,0,0.014759658,,0,0,0.025072542,0,,,,,,,,,,,,,,
33200,0,,0,0.015176882,0.014759658,,0,0,0,0.015176882,,,,,,,,,,,,,,
33400,0,,0.025072542,0,0.007379829,,0,0,0.025072542,0,,,,,,,,,,,,,,
33600,0,,0.012536271,0,0.007379829,,0,0,0.012536271,0,,,,,,,,,,,,,,
33800,0,,0.037608812,0.015176882,0.014759658,,0,0,0.037608812,0.015176882,,,,,,,,,,,,,,
34000,0.025180988,,0,0,0,,0.025180988,0,0,0,,,,,,,,,,,,,,
34200,0.012590494,,0,0,0.007379829,,0.012590494,0,0,0,,,,,,,,,,,,,,
34400,0.012590494,,0.012536271,0,0.007379829,,0.012590494,0,0.012536271,0,,,,,,,,,,,,,,
34600,0.012590494,,0,0,0.029519315,,0.012590494,0,0,0,,,,,,,,,,,,,,
34800,0.012590494,,0.012536271,0.045530647,0.007379829,,0.012590494,0,0.012536271,0.045530647,,,,,,,,,,,,,,
35000,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
35200,0,,0,0,0,,0,0,0,0,,,,,,,,,,,,,,
35400,0,,0.012536271,0.015176882,0.007379829,,0,0,0.012536271,0.015176882,,,,,,,,,,,,,,
35600,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
35800,0.025180988,,0.012536271,0.015176882,0,,0.025180988,0,0.012536271,0.015176882,,,,,,,,,,,,,,
36000,0,,0,0.015176882,0.014759658,,0,0,0,0.015176882,,,,,,,,,,,,,,
36200,0,,0,0,0.014759658,,0,0,0,0,,,,,,,,,,,,,,
36400,0.012590494,,0,0,0.007379829,,0.012590494,0,0,0,,,,,,,,,,,,,,
36600,0,,0,0,0.022139486,,0,0,0,0,,,,,,,,,,,,,,
36800,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
37000,0,,0.025072542,0,0.022139486,,0,0,0.025072542,0,,,,,,,,,,,,,,
37200,0.012590494,,0,0.015176882,0.007379829,,0.012590494,0,0,0.015176882,,,,,,,,,,,,,,
37400,0.012590494,,0,0,0,,0.012590494,0,0,0,,,,,,,,,,,,,,
37600,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
37800,0.037771483,,0.012536271,0,0,,0.037771483,0,0.012536271,0,,,,,,,,,,,,,,
38000,0,,0,0,0.014759658,,0,0,0,0,,,,,,,,,,,,,,
38200,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
38400,0,,0,0,0.007379829,,0,0,0,0,,,,,,,,,,,,,,
